season,week,roster_id,manager,team_name,points,opponent_roster_id,opponent_manager,opponent_points,result,is_playoff
2023,9,4,jdrobny,B2B,121.63,2,Erjohnson14,151.3,L,False
2023,9,5,kaufmannc,London Has Fallen,146.85,10,cc5597,155.84,L,False
2023,9,6,JSanDusky69,Tua Girls One Kupp,105.94,7,KingTowsk,118.36,L,False
2023,9,7,KingTowsk,Leeroy Jenkins,118.36,6,JSanDusky69,105.94,W,False
2023,9,8,TylerWicks,Christian Mingle,99.51,1,bgreenblatt,112.14,L,False
2023,9,9,brockhusk,Toss My Saleh’d,150.78,3,MaxSirianni,123.31,W,False
2023,9,10,cc5597,Bill Ninerkingz,155.84,5,kaufmannc,146.85,W,False
2023,10,1,bgreenblatt,Taylor Park Boys,155.93,4,jdrobny,140.07,W,False
2023,10,2,Erjohnson14,Johnson’s Lil Johnson,174.34,5,kaufmannc,110.97,W,False
2023,10,3,MaxSirianni,I hate Joe Burrow,134.09,7,KingTowsk,109.67,W,False
2023,10,4,jdrobny,B2B,140.07,1,bgreenblatt,155.93,L,False
2023,10,5,kaufmannc,London Has Fallen,110.97,2,Erjohnson14,174.34,L,False
2023,10,6,JSanDusky69,Tua Girls One Kupp,108.7,10,cc5597,152.23,L,False
2023,10,7,KingTowsk,Leeroy Jenkins,109.67,3,MaxSirianni,134.09,L,False
2023,10,8,TylerWicks,Christian Mingle,126.44,9,brockhusk,218.49,L,False
2023,10,9,brockhusk,Toss My Saleh’d,218.49,8,TylerWicks,126.44,W,False
2023,10,10,cc5597,Bill Ninerkingz,152.23,6,JSanDusky69,108.7,W,False
2023,11,1,bgreenblatt,Taylor Park Boys,170.96,6,JSanDusky69,117.0,W,False
2023,11,2,Erjohnson14,Johnson’s Lil Johnson,103.97,8,TylerWicks,161.88,L,False
2023,11,3,MaxSirianni,I hate Joe Burrow,91.66,4,jdrobny,129.31,L,False
2023,11,4,jdrobny,B2B,129.31,3,MaxSirianni,91.66,W,False
2023,11,5,kaufmannc,London Has Fallen,147.55,9,brockhusk,113.71,W,False
2023,11,6,JSanDusky69,Tua Girls One Kupp,117.0,1,bgreenblatt,170.96,L,False
2023,11,7,KingTowsk,Leeroy Jenkins,153.01,10,cc5597,134.46,W,False
2023,11,8,TylerWicks,Christian Mingle,161.88,2,Erjohnson14,103.97,W,False
2023,11,9,brockhusk,Toss My Saleh’d,113.71,5,kaufmannc,147.55,L,False
2023,11,10,cc5597,Bill Ninerkingz,134.46,7,KingTowsk,153.01,L,False
2023,12,1,bgreenblatt,Taylor Park Boys,175.47,7,KingTowsk,154.02,W,False
2023,12,2,Erjohnson14,Johnson’s Lil Johnson,159.09,9,brockhusk,197.4,L,False
2023,12,3,MaxSirianni,I hate Joe Burrow,116.32,10,cc5597,111.52,W,False
2023,12,4,jdrobny,B2B,141.3,6,JSanDusky69,114.88,W,False
